rank_index,appid,name,content_descriptors
280,2630,Call of Duty 2,"{'ids': [2, 5], 'notes': 'This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence, General Mature Content'}"
281,2635,Call of Duty 2 Singleplayer,
282,2640,Call of Duty: United Offensive,"{'ids': [2, 5], 'notes': 'This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence, General Mature Content'}"
283,2645,Call of Duty: United Offensive Singleplayer,
284,2680,The History Channel: Civil War,"{'ids': [], 'notes': None}"
285,2690,Empires: Dawn of the Modern World,"{'ids': [], 'notes': None}"
286,2700,RollerCoaster Tycoon 3: Platinum!,"{'ids': [], 'notes': None}"
287,2710,Act of War: Direct Action,"{'ids': [2, 5], 'notes': None}"
288,2720,ThreadSpace: Hyperbol,"{'ids': [], 'notes': None}"
289,2724,ThreadSpace: Hyperbol (dont use),
290,2725,ThreadSpace: Hyperbol Map Editor,
291,2726,ThreadSpace: Hyperbol Soundtrack,
292,2730,ThreadSpace: Hyperbol Demo,"{'ids': [], 'notes': None}"
293,2740,ThreadSpace: Hyperbol dedicated server,
294,2760,Neverwinter Nights 2: Platinum,"{'ids': [], 'notes': None}"
295,2767,Neverwinter Nights 2 Expansion 1,
296,2768,Neverwinter Nights 2 Expansion 2,
297,2770,Neverwinter Nights 2: Platinum - Map Editor,
298,2790,Atari: 80 Classic Games in One!,"{'ids': [], 'notes': None}"
299,2800,X2: The Threat,"{'ids': [], 'notes': None}"
300,2810,X3: Reunion,"{'ids': [], 'notes': None}"
301,2820,X3: Terran Conflict,"{'ids': [], 'notes': None}"
302,2826,X3: Terran Conflict,
303,2827,X3: A Sunny Place,
304,2840,X: Beyond the Frontier,"{'ids': [], 'notes': None}"
305,2850,X-Tension,"{'ids': [], 'notes': None}"
306,2860,X-SuperBox Bonus Material,
307,2870,X Rebirth,"{'ids': [], 'notes': None}"
308,2900,688(I) Hunter/Killer,"{'ids': [], 'notes': None}"
309,2910,Fleet Command,"{'ids': [], 'notes': None}"
310,2920,Sub Command,"{'ids': [], 'notes': None}"
311,2930,Birth Of America,
312,2950,Jagged Alliance 2: Unfinished Business,"{'ids': [], 'notes': None}"
313,2990,FlatOut 2,"{'ids': [], 'notes': None}"
314,3000,GTI Racing,
315,3010,Xpand Rally,"{'ids': [], 'notes': None}"
316,3020,Call of Juarez,"{'ids': [2, 5], 'notes': None}"
317,3030,Call of Juarez - DirectX 10,
318,3040,FIM Speedway GP3,
319,3050,Xpand Rally Xtreme,"{'ids': [], 'notes': None}"
320,3130,Men of War: Red Tide,"{'ids': [], 'notes': None}"
321,3150,GM Rally,
322,3160,A Farewell to Dragons,
323,3170,King's Bounty: Armored Princess,"{'ids': [], 'notes': None}"
324,3190,King's Bounty: Armored Princess - Demo,"{'ids': [], 'notes': None}"
325,3200,Painkiller: Gold Edition,
326,3205,Painkiller Editor,
327,3210,Painkiller Demo,"{'ids': [], 'notes': None}"
328,3220,SpaceForce: Rogue Universe,
329,3230,Genesis Rising,"{'ids': [], 'notes': None}"
330,3260,Safecracker: The Ultimate Puzzle Adventure,"{'ids': [], 'notes': None}"
331,3270,Painkiller Overdose,"{'ids': [2, 5], 'notes': 'Strong violence and gore.'}"
332,3273,Painkiller Overdose Test,
333,3280,Painkiller Overdose Demo,"{'ids': [], 'notes': None}"
334,3300,Bejeweled 2 Deluxe,"{'ids': [], 'notes': None}"
335,3302,Bejeweled 2 Deluxe Demo,"{'ids': [], 'notes': None}"
336,3310,Chuzzle Deluxe,"{'ids': [], 'notes': None}"
337,3312,Chuzzle Deluxe Demo,"{'ids': [], 'notes': None}"
338,3320,Insaniquarium! Deluxe,"{'ids': [], 'notes': None}"
339,3322,Insaniquarium! Deluxe Demo,"{'ids': [], 'notes': None}"
340,3330,Zuma Deluxe,"{'ids': [], 'notes': None}"
341,3332,Zuma Deluxe Demo,"{'ids': [], 'notes': None}"
342,3340,AstroPop Deluxe,"{'ids': [], 'notes': None}"
343,3342,AstroPop Deluxe Demo,"{'ids': [], 'notes': None}"
344,3350,Bejeweled Deluxe,"{'ids': [], 'notes': None}"
345,3352,Bejeweled Deluxe Demo,"{'ids': [], 'notes': None}"
346,3360,Big Money! Deluxe,"{'ids': [], 'notes': None}"
347,3362,Big Money Deluxe Demo,"{'ids': [], 'notes': None}"
348,3370,BookWorm Deluxe,
349,3372,BookWorm Deluxe Demo,
350,3380,Dynomite! Deluxe,"{'ids': [], 'notes': None}"
351,3382,Dynomite! Deluxe Demo,"{'ids': [], 'notes': None}"
352,3390,Feeding Frenzy 2: Shipwreck Showdown Deluxe,"{'ids': [], 'notes': None}"
353,3392,Feeding Frenzy 2: Shipwreck Showdown Deluxe Demo,"{'ids': [], 'notes': None}"
354,3400,Hammer Heads Deluxe,"{'ids': [], 'notes': None}"
355,3402,Hammer Heads Deluxe Demo,
356,3410,Heavy Weapon Deluxe,"{'ids': [], 'notes': None}"
357,3412,Heavy Weapon Deluxe Demo,"{'ids': [], 'notes': None}"
358,3420,Iggle Pop! Deluxe,"{'ids': [], 'notes': None}"
359,3422,Iggle Pop! Deluxe Demo,"{'ids': [], 'notes': None}"
360,3430,Pizza Frenzy,"{'ids': [], 'notes': None}"
361,3432,Pizza Frenzy Demo,"{'ids': [], 'notes': None}"
362,3442,Rocket Mania Deluxe Demo,
363,3450,Typer Shark! Deluxe,"{'ids': [], 'notes': None}"
364,3452,Typer Shark! Deluxe Demo,"{'ids': [], 'notes': None}"
365,3460,Talismania Deluxe,"{'ids': [], 'notes': None}"
366,3462,Talismania Deluxe Demo,"{'ids': [], 'notes': None}"
367,3470,Bookworm Adventures Deluxe,
368,3472,Bookworm Adventures Deluxe Demo,
369,3480,Peggle Deluxe,"{'ids': [], 'notes': None}"
370,3482,Peggle Deluxe Demo,"{'ids': [], 'notes': None}"
371,3483,Peggle Extreme,"{'ids': [], 'notes': None}"
372,3490,Venice,"{'ids': [], 'notes': None}"
373,3492,Venice Demo,
374,3500,Mystery P.I.: The Lottery Ticket,"{'ids': [], 'notes': None}"
375,3502,Mystery P.I.: The Lottery Ticket Demo,"{'ids': [], 'notes': None}"
376,3510,Amazing Adventures: The Lost Tomb,"{'ids': [], 'notes': None}"
377,3512,Amazing Adventures: The Lost Tomb Demo,"{'ids': [], 'notes': None}"
378,3520,Mystery PI: The Vegas Heist,"{'ids': [], 'notes': None}"
379,3522,Mystery PI: The Vegas Heist Demo,"{'ids': [], 'notes': None}"
380,3530,Amazing Adventures Around the World,"{'ids': [], 'notes': None}"
381,3532,Amazing Adventures Around the World Demo,"{'ids': [], 'notes': None}"
382,3540,Peggle Nights,"{'ids': [], 'notes': None}"
383,3542,Peggle Nights Demo,
384,3560,Bejeweled Twist,"{'ids': [], 'notes': None}"
385,3562,Bejeweled Twist Demo,"{'ids': [], 'notes': None}"
386,3570,Mystery P.I.: The New York Fortune,"{'ids': [], 'notes': None}"
387,3572,Mystery PI: The New York Fortune Demo,"{'ids': [], 'notes': None}"
388,3580,The Wizard's Pen,"{'ids': [], 'notes': None}"
389,3582,The Wizards Pen Demo,"{'ids': [], 'notes': None}"
390,3590,Plants vs. Zombies: Game of the Year,"{'ids': [], 'notes': None}"
391,3592,Plants vs. Zombies Demo,"{'ids': [], 'notes': None}"
392,3599,Plants vs. Zombies,
393,3600,Escape Rosecliff Island,"{'ids': [], 'notes': None}"
394,3602,Escape Rosecliff Island Demo,"{'ids': [], 'notes': None}"
395,3610,Mystery P.I.: Lost in Los Angeles,"{'ids': [], 'notes': None}"
396,3612,Mystery P.I.: Lost in Los Angeles Demo,"{'ids': [], 'notes': None}"
397,3620,Zuma's Revenge,"{'ids': [], 'notes': None}"
398,3622,Zuma's Revenge Demo,"{'ids': [], 'notes': None}"
399,3629,Zuma's Revenge,
400,3630,BookWorm Adventures Volume 2,
401,3632,Bookworm™ Adventures Volume 2 Demo,
402,3640,Bookworm (TM) Adventures - Fractured Fairytales,
403,3642,Bookworm Adventures - Fractured Fairytales Demo,
404,3650,Zuma's Revenge! - Adventure,
405,3652,Zuma's Revenge! - Adventure Demo,
406,3700,Sniper Elite,"{'ids': [], 'notes': None}"
407,3710,Judge Dredd: Dredd vs Death,"{'ids': [5], 'notes': None}"
408,3720,Evil Genius,"{'ids': [], 'notes': None}"
409,3730,Aliens versus Predator Classic 2000,"{'ids': [], 'notes': None}"
410,3750,ValveTestApp3750,
411,3800,Advent Rising,"{'ids': [], 'notes': None}"
412,3810,BloodRayne,"{'ids': [], 'notes': None}"
413,3820,BloodRayne 2,"{'ids': [], 'notes': None}"
414,3830,Psychonauts,"{'ids': [], 'notes': None}"
415,3838,Psychonauts Original Soundtrack,"{'ids': [], 'notes': None}"
416,3839,Psychonauts Original Cinematic Score,"{'ids': [], 'notes': None}"
417,3840,Psychonauts Demo,
